null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
3044748152 |(129.065, 83.1977, -63.4145)| |(-0.0938109, -0.988951, 0.114786)|
3044756983 |(-86.5384, 335.68, 308.39)| |(-0.0189422, -0.0403571, 0.999006)|
3044766098 |(-85.5103, 335.317, 308.218)| |(-0.0101294, -0.0531676, 0.998534)|
3044774966 |(-82.6511, 337.849, 305.652)| |(-0.0100113, -0.0609727, 0.998089)|
3044783973 |(-82.1958, 342.627, 305.649)| |(-0.0150071, -0.0426381, 0.998978)|
3044793116 |(-81.8561, 337.529, 304.731)| |(-0.0177833, -0.0368484, 0.999163)|
3044802099 |(-80.5206, 341.534, 304.495)| |(-0.0358422, -0.0457552, 0.998309)|
3044811115 |(-79.8358, 342.982, 303.442)| |(-0.0489064, -0.0660238, 0.996619)|
3044820118 |(-80.2585, 344.815, 305.371)| |(-0.061398, -0.0894333, 0.994099)|
3044829119 |(-80.8893, 343.751, 304.239)| |(-0.0720381, -0.0523569, 0.996027)|
3044838146 |(-80.7891, 340.391, 303.515)| |(-0.0726076, -0.0666606, 0.99513)|
3044847253 |(-80.9455, 339.984, 304.058)| |(-0.0898065, -0.0746943, 0.993154)|
3044856298 |(-81.0131, 342.832, 303.645)| |(-0.0871381, -0.0901077, 0.992113)|
3044865264 |(-80.61, 338.145, 300.986)| |(-0.093538, -0.0962057, 0.990957)|
3044874400 |(-80.8714, 341.094, 301.298)| |(-0.0970804, -0.10409, 0.989819)|
3044883361 |(-81.2025, 342.669, 301.622)| |(-0.0944905, -0.121448, 0.98809)|
3044892503 |(-82.8189, 353.03, 304.121)| |(-0.0789527, -0.156338, 0.984543)|
3044901531 |(-82.3875, 344.527, 300.904)| |(-0.0825459, -0.150188, 0.985205)|
3044919486 |(-83.4449, 355.553, 303.293)| |(-0.0805913, -0.150122, 0.985377)|
3044928625 |(-83.6182, 350.887, 302.611)| |(-0.088825, -0.152634, 0.984283)|
3044937645 |(-84.7169, 354.615, 304.619)| |(-0.0926428, -0.162238, 0.982393)|
3044946631 |(-84.9496, 350.394, 302.861)| |(-0.089271, -0.144801, 0.985425)|
3044955756 |(-85.1559, 346.465, 301.079)| |(-0.0872443, -0.150205, 0.984798)|
3044964719 |(-85.8368, 353.296, 303.319)| |(-0.0857556, -0.166433, 0.982317)|
